payer_account_id,InFlow_Total_sum,InFlow_Avg_sum,OutFlow_Total_sum,OutFlow_Avg_sum,Value Chain_Total_sum,Value Chain_Avg_sum,InFlow_Total_count,InFlow_Avg_count,OutFlow_Total_count,OutFlow_Avg_count,Value Chain_Total_count,Value Chain_Avg_count
471,32380.0,8095.0,33380.0,8345.0,285346.0,57069.2,37,9.25,38,9.5,1407,281.4
34,3.8645544E7,7729108.8,4.0714278E7,8142855.6,3034486.0,606897.2,2171,434.2,2326,465.2,1571,314.2
26,798901.0,199725.25,1800131.0,450032.75,476504.0,95300.8,294,73.5,359,89.75,1141,228.2
1056,6255.0,3127.5,6255.0,3127.5,4113.0,1028.25,2,1.0,2,1.0,37,9.25
222,420.0,210.0,420.0,210.0,6130.0,1532.5,2,1.0,2,1.0,50,12.5
1176,,,,,20.0,20.0,,,,,2,2.0
531,,,,,1.6023051E7,3204610.2,,,,,52294,10458.8
56,370591.0,74118.2,2497761.0,499552.2,1055305.0,211061.0,271,54.2,367,73.4,2689,537.8
